,Timing_Stable_Unstable,Articulation_Short_Long,Articulation_Soft_cushioned_Hard_solid,Pedal_Sparse/dry_Saturated/wet,Pedal_Clean_Blurred,Timbre_Even_Colorful,Timbre_Shallow_Rich,Timbre_Bright_Dark,Timbre_Soft_Loud,Dynamic_Sophisticated/mellow_Raw/crude,Dynamic_Little_dynamic_range_Large_dynamic_range,Music_Making_Fast_paced_Slow_paced,Music_Making_Flat_Spacious,Music_Making_Disproportioned_Balanced,Music_Making_Pure_Dramatic/expressive,Emotion_&_Mood_Optimistic/pleasant_Dark,Emotion_&_Mood_Low_Energy_High_Energy,Emotion_&_Mood_Honest_Imaginative,Interpretation_Unsatisfactory/doubtful_Convincing
Timing_Stable_Unstable,1.0,0.32321439367902427,-0.3068970156923511,0.2696756004348143,0.20739050630124106,0.395635785898099,0.34753688675895933,0.11079102488242833,-0.24763467627951352,-0.2920204268623435,0.15566820307819207,0.15111727772600536,0.3787171991396926,0.16804784960756905,0.40524570620531747,0.02642741763261094,-0.1683294458706314,0.4525771193629023,0.21583561129487414
Articulation_Short_Long,0.32321439367902427,1.0,-0.6718382879663871,0.7469967600887951,0.5875191325408347,0.46321333932619246,0.7054195847213653,0.2163769584330376,-0.4072364793047022,-0.5725002345210696,0.2668724976963522,0.5627529175671352,0.6520843319942553,0.5846919867261273,0.48365678332693096,0.16248453567601479,-0.24347741465673758,0.7011393013072961,0.5975284506780741
Articulation_Soft_cushioned_Hard_solid,-0.3068970156923511,-0.6718382879663871,1.0,-0.6448333227903811,-0.4609963388230638,-0.5431446292509461,-0.693214229665659,-0.07968098361326836,0.5355399053636531,0.7789010931661534,-0.12475499737418799,-0.36594910880324444,-0.6565777100135504,-0.6279648640889698,-0.509809437254407,0.02447507277606848,0.3581493234599722,-0.7115319890316462,-0.6186140068399952
Pedal_Sparse/dry_Saturated/wet,0.2696756004348143,0.7469967600887951,-0.6448333227903811,1.0,0.8874100049678131,0.5278940367954165,0.7752097563524366,0.0908762837578609,-0.1416593177622186,-0.45076172078648996,0.31884491801738696,0.2680082721827221,0.6175895119715069,0.5095436045295471,0.5838239726205975,0.04655004250917083,0.0001465244580601137,0.5956655741181175,0.5430563469747142
Pedal_Clean_Blurred,0.20739050630124106,0.5875191325408347,-0.4609963388230638,0.8874100049678131,1.0,0.34726754077362143,0.5737332627913931,0.10219540948705833,0.021953075655214184,-0.1967466455974192,0.23097720059918764,0.1514599414725049,0.39182605845667234,0.25096298773959164,0.4389477901189016,0.08749851344269292,0.05686770314144004,0.38230228237419533,0.292544178043531
Timbre_Even_Colorful,0.395635785898099,0.46321333932619246,-0.5431446292509461,0.5278940367954165,0.34726754077362143,1.0,0.8152853265802394,-0.02731982384471775,-0.07110031835149366,-0.6063458508370345,0.6280100505003281,0.20397619660312116,0.7902766896792001,0.6408728971816738,0.820218745414703,-0.09314020820439055,0.13978303679108472,0.7375573264229898,0.7124305556274281
Timbre_Shallow_Rich,0.34753688675895933,0.7054195847213653,-0.693214229665659,0.7752097563524366,0.5737332627913931,0.8152853265802394,1.0,0.04783084404878722,-0.20427555211524026,-0.6958353135537314,0.5132071468916717,0.34076785844489066,0.8615032709076442,0.7725644163448964,0.7797161097521228,-0.03518938523731498,0.03886147384972596,0.8157554577957578,0.8220369989811818
Timbre_Bright_Dark,0.11079102488242833,0.2163769584330376,-0.07968098361326836,0.0908762837578609,0.10219540948705833,-0.02731982384471775,0.04783084404878722,1.0,-0.2803363270311832,-0.08468131630776532,-0.01072777426009956,0.4115248656980395,0.10849555628696564,0.044941578765852384,-0.05288807689835775,0.8597930822895794,-0.38117949578010346,0.1256442347805227,0.010745275269981286
Timbre_Soft_Loud,-0.24763467627951352,-0.4072364793047022,0.5355399053636531,-0.1416593177622186,0.021953075655214184,-0.07110031835149366,-0.20427555211524026,-0.2803363270311832,1.0,0.5962246059100839,0.26968530692422205,-0.5061961444397032,-0.27103546319192456,-0.3509448212088076,-0.006208023494239765,-0.19036195453980345,0.7361164811449218,-0.4070603380875463,-0.2848939553626116
Dynamic_Sophisticated/mellow_Raw/crude,-0.2920204268623435,-0.5725002345210696,0.7789010931661534,-0.45076172078648996,-0.1967466455974192,-0.6063458508370345,-0.6958353135537314,-0.08468131630776532,0.5962246059100839,1.0,-0.15425614595440407,-0.4696443891835459,-0.7431901144641201,-0.8202941746660564,-0.5024409645573772,0.013803193501420445,0.37985369120787615,-0.7800472680954041,-0.7895070824329962
Dynamic_Little_dynamic_range_Large_dynamic_range,0.15566820307819207,0.2668724976963522,-0.12475499737418799,0.31884491801738696,0.23097720059918764,0.6280100505003281,0.5132071468916717,-0.01072777426009956,0.26968530692422205,-0.15425614595440407,1.0,0.08872882625351074,0.512864167826898,0.2955335158381914,0.6261782868536856,0.024841652700710336,0.4213894830202666,0.42370571359569964,0.4094784898875313
Music_Making_Fast_paced_Slow_paced,0.15111727772600536,0.5627529175671352,-0.36594910880324444,0.2680082721827221,0.1514599414725049,0.20397619660312116,0.34076785844489066,0.4115248656980395,-0.5061961444397032,-0.4696443891835459,0.08872882625351074,1.0,0.4148046171246301,0.42976105603910136,0.13364532773454452,0.36433384180732026,-0.5417256439277907,0.48765796426490393,0.40341188775996867
Music_Making_Flat_Spacious,0.3787171991396926,0.6520843319942553,-0.6565777100135504,0.6175895119715069,0.39182605845667234,0.7902766896792001,0.8615032709076442,0.10849555628696564,-0.27103546319192456,-0.7431901144641201,0.512864167826898,0.4148046171246301,1.0,0.7964374248614156,0.7525209631951543,0.022487263387767492,-0.014843920030567356,0.8711646997440289,0.846830338235634
Music_Making_Disproportioned_Balanced,0.16804784960756905,0.5846919867261273,-0.6279648640889698,0.5095436045295471,0.25096298773959164,0.6408728971816738,0.7725644163448964,0.044941578765852384,-0.3509448212088076,-0.8202941746660564,0.2955335158381914,0.42976105603910136,0.7964374248614156,1.0,0.5583711643730058,-0.04815707304962123,-0.1179300810952545,0.7533232005040313,0.9060391982247586
Music_Making_Pure_Dramatic/expressive,0.40524570620531747,0.48365678332693096,-0.509809437254407,0.5838239726205975,0.4389477901189016,0.820218745414703,0.7797161097521228,-0.05288807689835775,-0.006208023494239765,-0.5024409645573772,0.6261782868536856,0.13364532773454452,0.7525209631951543,0.5583711643730058,1.0,-0.1245496621289003,0.24576395485737632,0.7208826877002522,0.6532776499572049
Emotion_&_Mood_Optimistic/pleasant_Dark,0.02642741763261094,0.16248453567601479,0.02447507277606848,0.04655004250917083,0.08749851344269292,-0.09314020820439055,-0.03518938523731498,0.8597930822895794,-0.19036195453980345,0.013803193501420445,0.024841652700710336,0.36433384180732026,0.022487263387767492,-0.04815707304962123,-0.1245496621289003,1.0,-0.29064297385912063,0.05277876740715534,-0.08604863294324058
Emotion_&_Mood_Low_Energy_High_Energy,-0.1683294458706314,-0.24347741465673758,0.3581493234599722,0.0001465244580601137,0.05686770314144004,0.13978303679108472,0.03886147384972596,-0.38117949578010346,0.7361164811449218,0.37985369120787615,0.4213894830202666,-0.5417256439277907,-0.014843920030567356,-0.1179300810952545,0.24576395485737632,-0.29064297385912063,1.0,-0.16351957706634615,-0.01804616249711654
Emotion_&_Mood_Honest_Imaginative,0.4525771193629023,0.7011393013072961,-0.7115319890316462,0.5956655741181175,0.38230228237419533,0.7375573264229898,0.8157554577957578,0.1256442347805227,-0.4070603380875463,-0.7800472680954041,0.42370571359569964,0.48765796426490393,0.8711646997440289,0.7533232005040313,0.7208826877002522,0.05277876740715534,-0.16351957706634615,1.0,0.8177935801285967
Interpretation_Unsatisfactory/doubtful_Convincing,0.21583561129487414,0.5975284506780741,-0.6186140068399952,0.5430563469747142,0.292544178043531,0.7124305556274281,0.8220369989811818,0.010745275269981286,-0.2848939553626116,-0.7895070824329962,0.4094784898875313,0.40341188775996867,0.846830338235634,0.9060391982247586,0.6532776499572049,-0.08604863294324058,-0.01804616249711654,0.8177935801285967,1.0
